499.8,397.1,378.98,340.92,293.6,254.2,219.7,190.08,163.52,139.42,117.22,98.58,80.98,54.5,34.76,21.0,9.2
384.16,266.2,244.24,210.4,171.04,140.38,114.52,94.36,76.18,61.42,49.44,39.2,30.04,15.98,6.38,0.86,0.0
490.48,407.6,389.14,348.64,303.04,259.58,223.58,192.06,163.6,139.62,117.86,98.66,82.38,55.72,36.08,22.48,11.26
535.92,417.06,393.9,346.76,296.76,254.32,220.72,188.6,161.26,136.46,115.64,97.3,80.7,52.84,34.2,19.44,8.16
543.36,456.74,434.44,397.5,346.0,303.3,263.82,230.78,199.76,173.06,149.28,129.14,109.78,77.96,53.32,35.78,19.62
355.52,268.88,248.66,214.78,178.76,150.74,123.8,102.22,82.38,66.14,52.52,40.56,31.36,17.2,8.46,2.68,0.0
303.74,237.5,220.0,187.98,152.44,126.62,104.8,87.1,70.78,57.94,47.32,37.54,29.28,16.7,8.4,3.08,0.18
520.34,436.88,413.94,373.9,325.34,282.84,248.24,216.6,187.66,159.06,136.7,116.5,98.48,69.02,45.84,28.26,14.22
431.1,354.64,334.84,299.68,257.76,222.14,188.56,157.86,133.76,112.46,93.82,78.18,64.18,41.92,25.28,14.48,5.44
426.08,352.84,334.38,296.36,251.66,213.98,181.58,153.3,128.3,108.1,89.24,73.3,59.98,39.08,24.18,12.6,4.16
335.92,218.64,197.76,168.82,137.66,111.98,90.82,73.5,58.78,46.42,36.62,28.82,21.66,12.6,6.24,2.3,0.16
513.62,409.58,388.48,343.62,289.94,248.48,209.7,179.4,154.46,129.88,109.08,91.4,75.14,49.44,31.24,18.06,7.36
464.4,393.96,370.82,330.3,280.04,241.0,205.92,175.88,151.06,129.9,109.54,91.18,76.16,51.34,33.42,20.4,9.28
534.48,455.6,433.2,389.8,332.9,286.92,247.08,212.88,184.38,155.8,133.3,112.72,94.62,63.76,40.8,23.88,10.5
413.32,322.46,305.86,271.22,232.78,200.58,173.18,148.78,126.3,106.64,88.28,73.12,60.78,40.16,25.86,14.94,6.72
608.22,497.9,473.44,430.3,378.08,334.04,292.8,256.32,222.44,190.38,163.6,139.92,118.76,82.24,54.6,33.86,17.92
308.76,218.88,197.94,166.02,133.04,104.18,82.22,63.36,48.86,36.7,27.9,20.54,14.74,6.14,1.86,0.0,0.0
339.36,272.26,256.94,223.3,186.36,156.32,130.8,108.56,89.06,72.64,60.4,49.5,40.22,24.9,14.42,7.24,2.1
366.2,272.36,250.84,215.66,177.84,147.98,122.54,100.94,80.82,65.16,52.74,42.12,32.2,18.06,8.68,2.6,0.0
372.04,251.3,233.06,201.3,163.62,135.22,112.98,92.74,74.42,59.58,47.3,37.4,28.98,15.88,7.42,2.4,0.06
359.84,254.38,232.7,199.98,163.92,136.38,113.56,92.42,74.98,61.12,48.34,37.16,28.6,14.68,5.62,0.44,0.0
531.28,430.06,408.46,369.98,322.8,278.76,243.08,212.76,181.56,152.72,130.18,111.18,93.68,64.42,43.52,27.06,14.34
579.86,477.72,455.34,407.8,354.94,310.04,270.14,232.0,201.32,174.28,148.98,126.26,105.66,72.56,48.94,30.1,15.58
410.9,341.94,324.2,289.9,247.24,207.92,178.38,150.46,126.28,103.92,86.46,72.24,58.74,37.6,22.18,11.94,3.82
304.2,216.62,198.5,166.5,133.82,110.28,89.8,72.26,57.66,44.76,33.66,24.76,17.76,8.2,2.0,0.0,0.0
324.98,228.76,207.62,171.94,134.54,109.06,87.36,69.42,55.58,43.9,34.16,25.3,18.84,8.68,2.58,0.0,0.0
485.78,420.4,402.92,365.38,318.98,276.14,240.18,206.7,178.74,152.04,131.06,111.62,94.06,65.6,44.1,28.38,15.58
299.16,199.26,185.24,158.06,128.1,105.16,84.74,67.42,53.74,41.64,33.04,25.02,18.82,9.9,4.26,0.92,0.0
474.9,347.08,320.82,279.56,233.54,199.1,165.6,140.5,120.14,100.46,83.34,68.38,55.8,35.12,20.88,10.32,3.06
459.1,365.34,344.58,305.94,259.34,217.02,184.72,156.76,132.42,111.0,92.5,76.08,61.86,37.4,21.12,8.74,1.22
420.84,330.06,308.44,272.28,231.34,197.42,167.94,142.04,119.98,101.82,84.36,68.98,56.14,35.24,19.92,8.8,1.36
599.56,515.36,493.3,449.84,395.7,347.1,304.2,266.04,232.62,202.56,174.74,150.76,129.72,93.26,65.24,44.14,26.24
334.28,267.66,252.22,221.22,180.98,151.56,126.44,102.36,84.52,66.66,53.88,42.5,32.86,18.98,10.0,4.44,0.84
360.12,267.6,246.32,212.64,176.78,146.52,121.08,98.84,79.92,63.5,49.9,38.5,28.98,14.78,5.7,0.52,0.0
405.3,314.0,297.02,265.18,225.92,195.28,167.18,143.52,121.24,102.2,86.36,72.08,60.34,40.64,26.44,15.18,7.84
594.92,475.1,448.52,407.26,354.28,311.98,273.14,234.18,205.1,178.0,152.54,129.54,109.1,77.14,51.4,32.4,17.24
463.42,385.56,367.06,330.88,288.76,255.16,221.48,193.18,167.06,144.52,123.78,106.68,90.16,64.56,44.18,29.2,18.2
425.46,349.38,328.02,295.1,255.06,219.44,188.72,162.46,138.7,118.48,100.96,85.8,72.34,50.4,32.12,19.94,9.62
435.06,341.64,320.58,282.7,240.5,201.82,170.36,143.1,119.06,99.84,81.82,66.72,53.06,33.28,18.3,8.4,1.36
411.62,279.46,259.66,224.62,182.16,149.12,123.24,99.3,79.74,63.42,49.8,38.52,28.88,14.28,5.26,0.38,0.0
397.38,261.14,241.1,203.86,165.56,133.98,109.38,89.0,70.36,55.52,43.56,33.9,25.9,14.52,7.28,2.54,0.32
402.5,269.92,248.66,209.22,166.9,132.96,105.38,84.04,66.16,52.3,39.34,30.0,22.18,11.48,4.56,0.94,0.0
700.64,605.86,578.82,532.3,476.7,424.1,380.94,336.46,300.02,263.0,232.64,203.0,175.26,131.6,94.88,66.48,47.2
377.26,271.0,247.74,210.94,169.98,139.02,109.68,85.82,68.52,52.56,39.52,28.56,19.92,7.88,1.56,0.0,0.0
441.28,385.62,366.1,333.62,289.76,253.68,222.42,194.96,169.22,147.3,126.46,108.36,91.06,64.58,43.72,29.5,18.32
569.62,472.64,449.06,402.26,351.96,309.86,272.2,239.08,206.96,176.54,151.86,128.68,110.04,77.52,53.34,35.14,18.4
446.9,340.84,316.84,278.04,235.18,199.34,166.86,139.32,118.84,98.72,82.62,68.92,56.18,35.32,19.74,7.94,0.76
368.66,253.92,229.88,197.02,159.12,131.58,107.9,87.34,71.02,56.5,44.06,33.64,24.6,12.06,3.74,0.1,0.0
372.44,239.02,219.34,185.36,150.32,122.96,100.52,81.06,64.58,51.24,40.8,30.74,23.52,12.62,5.34,1.22,0.0
338.86,244.8,224.34,187.82,148.96,120.0,96.14,75.74,59.14,46.36,35.22,26.06,18.78,8.48,2.72,0.12,0.0
437.46,374.4,353.54,312.52,265.84,226.12,194.3,165.54,140.9,120.0,99.72,84.4,69.7,44.6,25.74,12.36,2.22
365.52,251.16,231.28,195.48,159.3,128.5,104.04,86.0,69.0,55.0,43.74,33.92,26.3,15.46,7.76,2.78,0.1
307.5,191.66,176.94,146.4,117.04,94.82,76.7,61.92,48.78,38.22,29.9,22.56,16.34,7.62,2.56,0.1,0.0
430.74,359.24,337.78,300.2,252.26,217.6,187.14,160.72,137.12,116.04,96.54,79.78,66.2,42.78,26.86,15.6,7.54
515.32,439.52,415.94,369.94,322.26,276.1,237.92,201.76,169.38,143.46,119.56,99.28,81.1,51.12,30.36,14.98,3.74
310.3,197.76,175.24,144.98,113.4,89.18,71.86,56.14,43.94,35.04,27.26,21.06,15.56,7.88,3.3,0.62,0.0
612.28,521.98,499.12,447.9,389.06,343.64,304.92,266.84,232.16,201.18,173.54,147.56,124.58,88.1,58.24,35.72,19.26
624.08,523.82,498.5,455.5,397.16,348.54,306.26,271.24,237.46,211.56,184.98,159.8,137.66,100.02,70.86,48.04,28.32
277.52,208.3,190.06,160.96,131.0,105.9,86.38,67.96,54.22,42.32,32.88,24.72,18.2,9.26,3.9,0.88,0.0
437.56,324.62,303.2,264.86,224.26,194.18,167.0,142.98,121.42,103.78,87.28,73.12,60.42,40.94,26.8,16.02,7.86
348.02,244.1,224.2,189.56,151.64,123.58,100.0,79.72,64.08,51.32,40.34,31.38,24.52,14.18,7.34,3.02,0.5
368.92,282.92,264.42,229.56,184.94,154.14,128.54,104.44,85.9,69.4,55.96,44.74,35.46,21.08,11.5,5.2,1.24
364.32,281.08,264.32,235.22,198.76,166.76,141.34,119.56,100.82,84.16,69.9,57.62,47.2,30.16,18.26,10.08,4.8
422.68,356.54,337.7,302.8,263.32,230.96,200.56,170.28,147.9,127.68,106.94,90.54,76.42,51.6,34.92,21.82,11.28
415.46,305.86,286.7,248.28,208.16,174.04,145.82,120.66,101.12,84.22,69.52,56.86,45.82,28.76,17.3,8.72,2.22
563.02,470.38,442.16,395.94,341.54,295.8,258.58,226.76,197.84,170.8,144.8,121.6,101.94,70.74,46.1,27.86,13.38
409.96,323.4,301.66,260.6,212.6,176.62,147.3,121.04,99.26,79.62,64.06,50.78,38.7,20.02,7.86,0.76,0.0
327.44,253.26,236.8,204.78,170.02,141.48,117.0,95.42,76.86,61.32,49.04,38.04,29.5,15.9,7.58,2.58,0.0
348.5,273.22,252.24,220.86,185.32,156.34,131.8,109.26,91.24,76.26,63.8,51.94,40.4,25.72,15.76,8.5,3.1
399.36,343.22,321.02,285.84,243.78,208.82,178.76,152.62,129.58,110.18,91.64,76.76,62.3,41.36,26.76,15.92,6.72
299.04,201.54,182.1,152.9,120.66,97.38,77.4,60.78,48.8,38.22,29.14,22.08,16.7,8.44,3.88,1.08,0.06
436.56,355.6,333.12,295.7,250.14,213.52,178.58,148.18,122.62,101.98,83.74,67.98,54.8,33.52,18.44,8.92,2.54
357.9,266.08,250.56,221.64,189.4,161.38,134.92,114.16,96.26,80.9,66.56,54.14,44.12,29.32,18.14,10.28,4.56
771.02,645.68,614.08,554.88,489.2,428.9,376.36,326.28,285.02,246.12,212.04,181.74,151.46,103.46,67.14,38.6,16.38
411.08,258.16,236.32,190.22,147.4,118.18,94.74,74.42,57.64,43.94,32.2,23.44,16.3,5.92,1.1,0.0,0.0
365.3,262.72,243.78,211.1,174.38,144.48,119.5,97.6,79.78,64.6,52.48,41.18,31.6,18.54,10.28,4.72,1.32
314.38,212.94,190.28,160.54,129.34,106.24,87.94,72.96,58.9,47.14,38.12,29.66,22.88,12.38,5.56,1.54,0.0
379.72,322.7,304.8,276.46,240.48,207.18,178.96,156.78,135.42,114.72,96.84,80.9,66.72,44.22,27.14,14.06,6.52
341.02,290.72,272.1,237.38,198.58,167.24,139.0,113.26,93.3,77.3,63.14,51.62,40.96,25.86,15.44,8.24,3.54
348.22,296.96,282.42,251.68,212.18,180.36,153.2,129.16,108.24,89.3,73.64,59.8,47.8,28.78,15.38,6.12,0.48
596.78,503.74,477.76,435.74,387.64,345.9,306.72,273.14,242.9,215.48,189.98,168.52,146.68,111.04,82.16,58.76,42.12
370.28,290.08,272.74,237.86,196.44,165.08,136.68,112.22,93.28,76.14,61.7,49.36,38.78,24.04,14.14,6.94,2.08
