245.62,192.42,184.02,165.12,142.34,122.2,106.08,91.46,78.42,66.74,56.28,46.88,38.5,25.96,16.42,9.76,4.34
188.02,128.78,119.36,102.34,82.68,67.62,54.98,45.36,36.62,29.38,23.66,18.72,14.42,7.7,3.08,0.44,0.0
237.22,197.24,188.4,168.6,146.4,125.62,107.52,92.62,78.5,66.9,56.36,46.96,39.2,26.3,16.92,10.54,5.24
260.32,201.78,189.54,167.28,142.64,122.08,105.34,90.0,76.64,65.12,54.86,45.94,38.16,24.8,15.92,9.04,3.76
264.92,222.72,211.86,193.68,168.14,147.18,127.5,111.38,96.48,83.3,71.78,62.1,52.62,37.08,25.48,16.88,9.2
173.48,129.78,120.32,103.72,85.82,72.16,59.14,48.9,39.08,31.42,24.68,19.1,14.84,8.08,4.06,1.32,0.0
152.32,116.06,107.72,91.16,74.12,61.54,50.72,41.9,34.26,27.92,22.72,18.24,14.1,7.98,4.02,1.5,0.1
255.14,212.7,200.7,181.34,157.72,137.04,120.32,104.72,90.5,76.74,65.82,56.1,47.42,33.24,22.06,13.48,6.78
207.54,171.78,162.64,145.38,124.4,106.9,90.78,75.9,64.32,53.7,44.96,37.4,30.66,19.88,11.96,6.86,2.62
206.4,170.82,162.84,144.54,122.34,103.2,87.4,73.66,61.92,51.9,42.6,34.96,28.64,18.62,11.48,5.9,1.94
165.64,106.66,95.8,81.94,66.28,54.04,43.52,35.16,27.88,22.06,17.52,13.62,10.22,5.86,2.94,1.06,0.08
248.2,198.58,188.2,165.52,139.6,119.1,100.7,85.76,73.54,61.78,51.84,43.3,35.42,23.32,14.6,8.44,3.4
223.64,190.34,179.06,159.22,134.84,115.4,98.64,84.14,72.12,61.52,52.02,43.06,35.82,24.04,15.54,9.42,4.16
262.8,222.72,212.6,189.78,162.4,139.66,120.2,103.0,89.3,75.44,64.34,54.34,45.56,30.5,19.46,11.3,5.04
202.72,158.54,150.38,133.22,113.78,97.96,84.48,72.6,61.34,51.9,42.92,35.56,29.36,19.5,12.44,7.24,3.18
289.56,241.4,228.16,207.58,182.5,160.46,140.94,122.46,106.26,90.96,77.7,66.64,56.36,38.62,25.62,15.8,8.26
153.14,104.58,95.2,79.4,63.52,49.68,38.96,29.76,22.8,17.16,12.98,9.6,6.84,2.88,0.86,0.0,0.0
161.2,132.18,124.02,108.06,90.3,75.38,62.8,51.9,42.82,34.72,28.78,23.56,19.1,11.9,6.86,3.38,1.0
179.96,133.52,122.06,104.46,86.1,71.78,58.94,48.64,39.12,31.38,25.12,20.0,15.24,8.62,4.1,1.24,0.0
177.12,121.08,111.42,96.48,77.98,64.52,53.76,43.98,35.18,27.92,22.26,17.52,13.56,7.46,3.5,1.14,0.02
179.84,124.9,114.78,97.92,80.38,66.92,55.64,45.08,36.62,29.7,23.56,18.06,13.94,7.06,2.72,0.24,0.0
255.42,208.94,197.96,179.34,156.24,134.66,117.06,102.24,87.1,73.62,62.22,53.28,44.64,30.74,20.58,12.7,6.68
281.74,231.48,220.62,198.14,171.68,150.04,130.7,112.16,97.06,83.74,71.64,60.62,50.62,34.64,23.28,14.2,7.24
197.26,165.44,156.86,140.36,119.26,100.42,85.8,72.12,60.52,49.78,40.98,34.4,27.74,17.64,10.42,5.58,1.8
149.64,106.26,97.52,81.5,65.24,53.56,43.66,35.18,27.98,21.64,16.48,12.0,8.64,3.92,1.0,0.0,0.0
161.78,111.24,100.76,83.26,64.98,52.56,41.88,33.36,26.48,20.92,16.24,12.06,8.88,4.1,1.26,0.0,0.0
233.3,204.18,195.32,176.58,153.84,133.42,115.6,99.08,85.74,72.8,62.58,53.12,44.96,31.06,20.76,13.2,7.18
148.26,97.34,89.68,76.56,62.18,50.76,41.08,32.56,25.8,19.98,15.76,11.96,9.0,4.7,2.02,0.44,0.0
227.6,166.7,154.66,133.5,111.2,94.8,78.62,66.52,56.42,47.04,39.2,31.86,26.0,16.34,9.54,4.7,1.42
221.86,175.84,166.36,147.12,124.58,103.62,88.56,74.7,62.98,52.92,43.96,36.08,29.16,17.72,10.1,4.2,0.62
202.68,159.18,149.42,131.44,111.68,94.86,80.7,68.12,57.26,48.7,40.08,32.92,26.68,16.8,9.48,4.26,0.68
293.6,252.56,241.48,220.8,193.2,169.42,147.92,129.82,113.22,98.34,84.46,72.78,62.92,45.24,31.44,21.12,12.44
165.72,132.56,124.42,109.18,88.84,74.3,61.92,50.22,41.22,32.62,26.2,20.64,15.98,9.2,4.8,2.14,0.4
173.12,129.78,119.56,103.24,85.46,70.56,58.16,47.7,38.48,30.38,23.88,18.3,13.9,7.1,2.76,0.26,0.0
197.28,152.96,144.52,129.48,109.6,94.62,80.88,69.22,58.68,49.18,41.68,34.6,28.9,19.3,12.62,7.24,3.7
286.24,228.74,215.82,195.32,170.1,149.74,129.88,111.48,97.26,84.4,72.12,61.08,51.82,36.16,23.92,14.98,7.74
227.88,188.42,179.5,161.46,140.9,124.26,107.2,93.5,80.92,70.12,59.92,51.56,43.48,31.34,21.24,13.98,8.66
213.82,171.92,161.98,144.72,124.94,107.72,92.66,79.66,68.06,57.98,49.56,41.84,35.42,24.58,15.74,9.68,4.66
211.56,168.34,158.16,139.56,118.0,99.26,83.76,70.02,58.3,48.84,40.08,32.5,25.74,16.12,8.86,4.1,0.66
